,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
4,121,SFO,Joe Williams,RB,24,,0,0,0,,,,,,,,,,,,,,,,,,Utah,College Stats
4,122,BAL,Nico Siragusa,G,23,,0,0,0,,,,,,,,,,,,,,,,,,San Diego St.,College Stats
4,123,WAS,Montae Nicholson,S,21,2019,0,0,1,10,10,35,0,0,0,0,0,0,0,0,0,0,0,92,3,,Michigan St.,College Stats
4,124,DET,Jalen Reeves-Maybin,LB,22,2020,0,0,0,6,6,55,0,0,0,0,0,0,0,0,0,0,0,70,,0.5,Tennessee,College Stats
4,125,LAR,Samson Ebukam,OLB,22,2020,0,0,3,19,19,64,0,0,0,0,0,0,0,0,0,0,0,95,1,14,East. Washington,
4,126,CLE,Howard Wilson,CB,21,,0,0,0,,,,,,,,,,,,,,,,,,Houston,College Stats
4,127,DET,Michael Roberts,TE,23,2018,0,0,0,1,1,23,0,0,0,0,0,0,0,0,13,146,3,,,,Toledo,College Stats
4,128,CIN,Josh Malone,WR,21,2020,0,0,1,1,1,26,0,0,0,0,0,3,14,0,11,91,1,,,,Tennessee,College Stats
4,129,OAK,David Sharpe,T,21,2020,0,0,0,5,3,34,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,College Stats
4,130,HOU,Julie'n Davenport,T,22,2020,0,0,2,14,10,51,0,0,0,0,0,0,0,0,0,0,0,,,,Bucknell,
4,131,NWE,Deatrich Wise Jr.,DE,23,2020,0,0,1,16,16,62,0,0,0,0,0,0,0,0,0,0,0,78,,14,Arkansas,College Stats
4,132,PHI,Donnel Pumphrey,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,San Diego St.,College Stats
4,133,DAL,Ryan Switzer,WR,22,2019,0,0,0,3,1,41,0,0,0,0,0,10,26,0,50,321,1,,,,North Carolina,College Stats
4,134,GNB,Jamaal Williams,RB,22,2020,0,0,1,20,20,60,0,0,0,0,0,500,1985,10,122,961,8,7,,,BYU,College Stats
4,135,PIT,Joshua Dobbs,QB,22,2020,0,0,0,0,0,6,10,17,45,0,1,6,31,0,0,0,0,,,,Tennessee,College Stats
4,136,ATL,Sean Harlow,G,22,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Oregon St.,College Stats
4,137,IND,Zach Banner,T,23,2020,0,0,0,2,,23,0,0,0,0,0,0,0,0,0,0,0,,,,USC,College Stats
4,138,CIN,Ryan Glasgow,DT,23,2020,0,0,0,3,3,26,0,0,0,0,0,0,0,0,0,0,0,21,,,Michigan,College Stats
4,139,KAN,Jehu Chesson,WR,23,2018,0,0,0,0,0,24,0,0,0,0,0,1,-4,0,3,25,0,6,,,Michigan,College Stats
4,140,NYG,Wayne Gallman,RB,22,2020,0,0,1,11,11,53,0,0,0,0,0,338,1444,9,80,498,2,5,,,Clemson,College Stats
4,141,NYJ,Chad Hansen,WR,22,2020,0,0,0,3,1,20,0,0,0,0,0,0,0,0,26,330,1,1,,,California,College Stats
4,142,HOU,Carlos Watkins,DT,23,2020,0,0,0,9,9,42,0,0,0,0,0,0,0,0,0,0,0,38,,4,Clemson,College Stats
4,143,IND,Marlon Mack,RB,21,2020,0,0,2,18,18,41,0,0,0,0,0,539,2383,20,55,440,2,,,,South Florida,College Stats
4,144,IND,Grover Stewart,DT,23,2020,0,0,2,14,14,62,0,0,0,0,0,0,0,0,0,0,0,74,,3.5,Albany State (GA),
5,145,DEN,Jake Butt,TE,22,2020,0,0,0,1,1,8,0,0,0,0,0,0,0,0,10,90,0,1,,,Michigan,College Stats
5,146,SFO,George Kittle,TE,23,2020,1,2,3,30,30,53,0,0,0,0,0,8,49,0,264,3579,14,,,,Iowa,College Stats
5,147,CHI,Jordan Morgan,G,23,,0,0,0,,,,,,,,,,,,,,,,,,Kutztown (PA),
5,148,JAX,Blair Brown,LB,23,2018,0,0,0,3,3,28,0,0,0,0,0,0,0,0,0,0,0,13,,0.5,Ohio,College Stats
5,149,ATL,Damontae Kazee,CB,24,2020,0,0,2,12,12,52,0,0,0,0,0,0,0,0,0,0,0,137,10,,San Diego St.,College Stats
5,150,NYJ,Jordan Leggett,TE,22,2018,0,0,0,1,1,15,0,0,0,0,0,0,0,0,14,114,1,,,,Clemson,College Stats
5,151,LAC,Desmond King,S,22,2020,1,0,2,20,18,62,0,0,0,0,0,0,0,0,0,0,0,193,4,8.5,Iowa,College Stats
5,152,CAR,Corn Elder,CB,22,2020,0,0,0,2,2,30,0,0,0,0,0,0,0,0,0,0,0,31,,,Miami (FL),College Stats
5,153,CIN,Jake Elliott,K,22,2020,0,0,0,10,,63,0,1,0,0,1,0,0,0,0,0,0,2,,,Memphis,College Stats
5,154,WAS,Jeremy Sprinkle,TE,23,2020,0,0,2,2,2,59,0,0,0,0,0,0,0,0,34,301,3,6,,,Arkansas,College Stats
5,155,TEN,Jayon Brown,LB,22,2020,0,0,3,22,22,56,0,0,0,0,0,0,0,0,0,0,0,216,3,9.5,UCLA,College Stats
5,156,ATL,Brian Hill,RB,21,2020,0,0,0,10,9,45,0,0,0,0,0,209,982,3,38,313,1,7,,,Wyoming,College Stats
5,157,ARI,Will Holden,T,23,2020,0,0,0,4,3,13,0,0,0,0,0,0,0,0,0,0,0,,,,Vanderbilt,College Stats
5,158,IND,Nate Hairston,CB,23,2020,0,0,1,8,5,43,0,0,0,0,0,0,0,0,0,0,0,77,2,2,Temple,College Stats
5,159,BAL,Jermaine Eluemunor,G,22,2020,0,0,0,7,3,39,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats
5,160,CLE,Roderick Johnson,T,21,2020,0,0,0,6,,29,0,0,0,0,0,0,0,0,0,0,0,,,,Florida St.,College Stats
5,161,IND,Anthony Walker,LB,22,2020,0,0,3,23,23,57,0,0,0,0,0,0,0,0,0,0,0,229,3,3.5,Northwestern,College Stats
5,162,TAM,Jeremy McNichols,RB,21,2020,0,0,0,2,,20,0,0,0,0,0,49,208,1,12,55,0,1,,,Boise St.,College Stats
5,163,BUF,Matt Milano,LB,23,2020,0,0,2,24,24,54,0,0,0,0,0,0,0,0,0,0,0,184,5,6,Boston Col.,College Stats
5,164,MIA,Isaac Asiata,G,24,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Utah,College Stats
5,165,DET,Jamal Agnew,CB,22,2020,1,0,0,14,14,46,0,1,0,0,0,10,68,0,16,105,0,28,,,San Diego,
5,166,PHI,Shelton Gibson,WR,23,2018,0,0,0,0,0,20,0,0,0,0,0,0,0,0,3,59,0,2,,,West Virginia,College Stats
5,167,NYG,Avery Moss,DE,22,2019,0,0,1,3,1,22,0,0,0,0,0,0,0,0,0,0,0,22,,,Youngstown St.,
5,168,OAK,Marquel Lee,LB,21,2019,0,0,1,8,8,34,0,0,0,0,0,0,0,0,0,0,0,65,,,Wake Forest,College Stats
5,169,HOU,Treston Decoud,S,24,2018,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,6,,,Oregon St.,College Stats
5,170,MIN,Rodney Adams,WR,22,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,South Florida,College Stats
5,171,BUF,Nathan Peterman,QB,23,2020,0,0,0,2,2,9,71,135,573,3,12,18,82,1,0,0,0,,,,Pittsburgh,College Stats
5,172,DEN,Isaiah McKenzie,WR,22,2020,0,0,1,8,0,50,1,1,12,1,0,29,128,2,79,744,6,2,,,Georgia,College Stats
5,173,PIT,Brian Allen,DB,23,2020,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,4,,,Utah,College Stats
5,174,ATL,Eric Saubert,TE,23,2020,0,0,0,0,0,40,0,0,0,0,0,0,0,0,10,85,0,3,,,Drake,
5,175,GNB,DeAngelo Yancey,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Purdue,College Stats
5,176,CIN,JJ Dielman,C,23,,0,0,0,,,,,,,,,,,,,,,,,,Utah,College Stats
5,177,SFO,Trent Taylor,WR,23,2020,0,0,0,6,6,41,0,0,0,0,0,0,0,0,79,731,3,,,,Louisiana Tech,College Stats
5,178,MIA,Davon Godchaux,DT,22,2020,0,0,2,16,16,52,0,0,0,0,0,0,0,0,0,0,0,100,,3,LSU,College Stats
5,179,ARI,T.J. Logan,RB,23,2019,0,0,0,0,0,22,0,0,0,0,0,5,12,0,9,50,0,2,,,North Carolina,College Stats
5,180,MIN,Danny Isidora,G,23,2020,0,0,0,4,3,25,0,0,0,0,0,0,0,0,0,0,0,,,,Miami (FL),College Stats
