,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
3,91,ATL,Lamar Holmes,T,23,2014,0,0,1,11,11,21,0,0,0,0,0,0,0,0,0,0,0,,,,Southern Miss,College Stats
3,92,IND,T.Y. Hilton,WR,22,2020,0,4,8,70,70,133,0,1,0,0,0,9,55,0,608,9360,50,1,,,Florida International,College Stats
3,93,CIN,Brandon Thompson,DT,22,2015,0,0,0,7,7,39,0,0,0,0,0,0,0,0,0,0,0,29,,3,Clemson,College Stats
3,94,NYG,Jayron Hosley,DB,21,2015,0,0,0,7,7,43,0,0,0,0,0,0,0,0,0,0,0,69,2,,Virginia Tech,College Stats
3,95,OAK,Tony Bergstrom,T,26,2020,0,0,0,11,3,86,0,0,0,0,0,0,0,0,0,0,0,,,,Utah,College Stats
4,96,STL,Chris Givens,WR,22,2015,0,0,2,12,11,60,0,0,0,0,0,11,42,0,107,1779,5,1,,,Wake Forest,College Stats
4,97,MIA,Lamar Miller,RB,21,2020,0,1,6,42,22,106,0,0,0,0,0,1354,5864,32,211,1571,8,,,,Miami (FL),College Stats
4,98,BAL,Gino Gradkowski,G,23,2018,0,0,1,9,8,60,0,0,0,0,0,0,0,0,0,0,0,,,,Delaware,
4,99,HOU,Ben Jones,C,23,2020,0,0,8,49,14,143,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,College Stats
4,100,CLE,Travis Benjamin,WR,22,2019,0,0,2,25,13,101,0,1,0,0,0,36,268,0,208,3143,19,1,,,Miami (FL),College Stats
4,101,DEN,Omar Bolden,DB,23,2015,0,0,0,5,5,56,0,0,0,0,0,0,0,0,0,0,0,42,,,Arizona St.,College Stats
4,102,WAS,Kirk Cousins,QB,24,2020,0,2,6,73,37,109,2453,3662,28372,190,84,230,721,16,1,-1,0,,,,Michigan St.,College Stats
4,103,CAR,Frank Alexander,DE,22,2014,0,0,0,6,6,29,0,0,0,0,0,0,0,0,0,0,0,20,,3.5,Oklahoma,College Stats
4,104,CAR,Joe Adams,WR,22,2012,0,0,0,0,0,9,0,0,0,0,0,3,13,0,1,7,0,,,,Arkansas,College Stats
4,105,BUF,Nigel Bradham,LB,23,2020,0,0,7,45,16,116,0,0,0,0,0,0,0,0,0,0,0,403,3,8.5,Florida St.,College Stats
4,106,SEA,Robert Turbin,RB,22,2019,0,0,0,16,12,82,0,0,0,0,0,355,1354,9,86,688,3,5,,,Utah St.,College Stats
4,107,KAN,Devon Wylie,WR,24,2014,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,53,0,,,,Fresno St.,College Stats
4,108,DEN,Philip Blake,OL,26,2012,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,Baylor,College Stats
4,109,PIT,Alameda Ta'amu,DT,22,2014,0,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,5,,,Washington,College Stats
4,110,SDG,Ladarius Green,TE,22,2016,0,0,2,11,9,53,0,0,0,0,0,0,0,0,95,1391,8,16,,,,
4,111,CHI,Evan Rodriguez,TE,23,2014,0,0,0,0,0,20,0,0,0,0,0,0,0,0,4,21,0,3,,,Temple,College Stats
4,112,ARI,Bobby Massie,T,23,2020,0,0,7,45,21,118,0,0,0,0,0,0,0,0,1,4,0,,,,Mississippi,College Stats
4,113,DAL,Kyle Wilber,LB,23,2020,0,0,1,13,11,133,0,0,0,0,0,0,0,0,0,0,0,104,,3.5,Wake Forest,College Stats
4,114,SEA,Jaye Howard,DT,23,2016,0,0,2,15,0,45,0,0,0,0,0,0,0,0,0,0,0,83,,7.5,Florida,College Stats
4,115,TEN,Coty Sensabaugh,DB,23,2019,0,0,2,18,12,107,0,0,0,0,0,0,0,0,0,0,0,220,3,1,Clemson,College Stats
4,116,CIN,Orson Charles,TE,21,2018,0,0,0,2,1,49,0,0,0,0,0,0,0,0,14,185,0,8,,,Georgia,College Stats
4,117,SFO,Joe Looney,G,22,2020,0,0,2,18,2,104,0,0,0,0,0,0,0,0,0,0,0,,,,Wake Forest,College Stats
4,118,MIN,Jarius Wright,WR,22,2019,0,0,1,23,18,111,0,0,0,0,0,11,143,0,224,2782,11,,,,Arkansas,College Stats
4,119,WAS,Keenan Robinson,LB,23,2017,0,0,2,19,12,58,0,0,0,0,0,0,0,0,0,0,0,190,2,1.5,Texas,College Stats
4,120,CLE,James-Michael Johnson,LB,23,2015,0,0,2,11,4,48,0,0,0,0,0,0,0,0,0,0,0,80,,1,Nevada,College Stats
4,121,HOU,Keshawn Martin,WR,22,2016,0,0,1,7,4,58,0,0,0,0,0,5,59,0,62,685,5,,,,Michigan St.,College Stats
4,122,NOR,Nick Toon,WR,23,2015,0,0,0,3,3,17,0,0,0,0,0,1,4,0,21,283,1,,,,Wisconsin,College Stats
4,123,PHI,Brandon Boykin,DB,22,2015,0,0,0,9,7,64,0,0,0,0,0,0,0,0,0,0,0,128,8,2,Georgia,College Stats
4,124,BUF,Ron Brooks,DB,23,2016,0,0,0,7,4,53,0,0,0,0,0,0,0,0,0,0,0,79,,,LSU,College Stats
4,125,DET,Ronnell Lewis,LB,21,2012,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,2,,,Oklahoma,College Stats
4,126,HOU,Jared Crick,DE,23,2016,0,0,3,28,20,79,0,0,0,0,0,0,0,0,0,0,0,113,,8.5,Nebraska,College Stats
4,127,NYG,Adrien Robinson,TE,23,2014,0,0,0,0,0,19,0,0,0,0,0,0,0,0,5,50,1,2,,,Cincinnati,College Stats
4,128,MIN,Rhett Ellison,RB,23,2019,0,0,4,9,4,113,0,0,0,0,0,1,1,1,118,1189,7,17,,,USC,College Stats
4,129,OAK,Miles Burris,LB,24,2014,0,0,2,14,14,38,0,0,0,0,0,0,0,0,0,0,0,141,1,1.5,San Diego St.,College Stats
4,130,BAL,Christian Thompson,DB,22,2012,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,South Carolina St.,
4,131,NYG,Brandon Mosley,T,23,2014,0,0,0,2,2,22,0,0,0,0,0,0,0,0,0,0,0,1,,,Auburn,College Stats
4,132,GNB,Mike Daniels,DT,23,2020,0,1,6,43,38,122,0,0,0,0,0,0,0,0,0,0,0,167,1,30,Iowa,College Stats
4,133,GNB,Jerron McMillian,DB,23,2013,0,0,0,2,2,28,0,0,0,0,0,0,0,0,0,0,0,30,1,,Maine,
4,134,MIN,Greg Childs,WR,22,2012,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,Arkansas,College Stats
4,135,DAL,Matt Johnson,DB,23,2012,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,East. Washington,
5,136,IND,Josh Chapman,NT,23,2014,0,0,1,8,8,29,0,0,0,0,0,0,0,0,0,0,0,25,,,Alabama,College Stats
5,137,DEN,Malik Jackson,DT,22,2020,0,1,4,42,14,126,0,0,0,0,0,0,0,0,0,0,0,199,,35,Tennessee,College Stats
5,138,DET,Tahir Whitehead,LB,22,2020,0,0,6,43,28,139,0,0,0,0,0,0,0,0,0,0,0,490,6,3,Temple,College Stats
5,139,MIN,Robert Blanton,DB,23,2017,0,0,1,9,9,72,0,0,0,0,0,0,0,0,0,0,0,177,1,,Notre Dame,College Stats
5,140,TAM,Najee Goode,LB,23,2019,0,0,0,9,0,90,0,0,0,0,0,0,0,0,0,0,0,79,1,2,West Virginia,College Stats
5,141,WAS,Adam Gettis,G,23,2016,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,,,,Iowa,
5,142,JAX,Brandon Marshall,LB,22,2018,0,0,4,30,0,74,0,0,0,0,0,0,0,0,0,0,0,306,2,6.5,Nevada,College Stats
5,143,CAR,Josh Norman,DB,24,2020,1,1,7,44,22,120,0,0,0,0,0,0,0,0,0,0,0,332,15,1,Coastal Carolina,
5,144,BUF,Zebrie Sanders,OL,22,2012,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,Florida St.,College Stats
5,145,TEN,Taylor Thompson,TE,22,2014,0,0,0,0,0,35,0,0,0,0,0,0,0,0,11,83,1,14,,,SMU,College Stats
5,146,KAN,DeQuan Menzie,DB,22,2012,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats
5,147,BUF,Tank Carder,LB,23,2016,0,0,0,4,,78,0,0,0,0,0,0,0,0,0,0,0,38,,,TCU,College Stats
5,148,DET,Chris Greenwood,DB,23,2014,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,,,Albion,
5,149,SDG,Johnnie Troutman,G,24,2014,0,0,2,13,13,29,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.,College Stats
5,150,STL,Rokevious Watkins,G,23,2013,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,South Carolina,
5,151,ARI,Senio Kelemete,G,22,2020,0,0,1,23,0,88,0,0,0,0,0,0,0,0,1,10,0,,,,Washington,College Stats
5,152,DAL,Danny Coale,WR,24,2012,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,Virginia Tech,College Stats
5,153,PHI,Dennis Kelly,T,22,2020,0,0,1,25,6,104,0,0,0,0,0,0,0,0,1,1,1,,,,Purdue,College Stats
5,154,SEA,Korey Toomer,LB,23,2018,0,0,0,12,,53,0,0,0,0,0,0,0,0,0,0,0,91,1,2,Idaho,College Stats
5,155,MIA,Josh Kaddu,LB,22,2014,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,Oregon,College Stats
5,156,CIN,Shaun Prater,DB,22,2015,0,0,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,7,1,,Iowa,College Stats
5,157,ATL,Bradie Ewing,RB,22,2014,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,29,0,,,,Wisconsin,College Stats
5,158,OAK,Jack Crawford,DE,24,2020,0,0,2,19,1,109,0,0,0,0,0,0,0,0,0,0,0,91,1,18,Penn St.,College Stats
5,159,PIT,Chris Rainey,RB,24,2013,0,0,0,1,1,18,0,0,0,0,0,26,102,2,14,60,0,1,,,Florida,College Stats
5,160,CLE,Ryan Miller,G,23,2014,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,,,,Colorado,College Stats
5,161,HOU,Randy Bullock,K,22,2020,0,0,0,15,4,107,0,0,0,0,0,0,0,0,0,0,0,3,,,Texas A&M,College Stats
5,162,NOR,Corey White,DB,22,2016,0,0,1,10,10,66,0,0,0,0,0,0,0,0,0,0,0,132,6,1,Samford,
5,163,GNB,Terrell Manning,LB,22,2014,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,,,North Carolina St.,College Stats
5,164,ATL,Jonathan Massaquoi,DE,24,2014,0,0,0,6,6,39,0,0,0,0,0,0,0,0,0,0,0,47,,6,Troy,College Stats
